id,name,code,utility_type_id:id
utility_soruce_type_1,EPC Meter,EPC,utility_supply_type_1
utility_source_type_2,Generator,GEN,utility_supply_type_1
utility_source_type_3,SUB Meter,SUB,utility_supply_type_1
utility_source_type_4,IDD,IDD,utility_supply_type_2
utility_soruce_type_5,LOCAL,LOCAL,utility_supply_type_2
utility_source_type_6,MOBILE,MOBILE,utility_supply_type_2
utility_source_type_7,STD,STD,utility_supply_type_2
utility_soruce_type_8,Water Meter,WM,utility_supply_type_3
utility_source_type_9,Gas Meter,GM,utility_supply_type_4
